Temp (C),Dew Point Temp (C),Rel Hum (%),Precip. Amount (mm),Wind Spd (km/h),Visibility (km),Stn Press (kPa),hour_sin,hour_cos,month_sin,month_cos,wind_dir_sin,wind_dir_cos,wind_power_potential,output_mw_lag_1h,available_capacity_mw,weather_quality_bad,weather_quality_good
-4.2,-14.2,46,0.0,16.0,10,101.38,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,-0.5150380749100545,0.8571673007021121,4096.0,60,120,0,1
-3.3,-13.8,44,0.0,16.2,10,101.37,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,-0.6018150231520483,0.7986355100472928,4251.527999999999,60,120,0,1
-2.8,-13.1,45,0.0,16.8,10,101.35,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.6691306063588581,0.7431448254773942,4741.6320000000005,60,120,0,1
-2.5,-12.7,46,0.0,16.5,10,101.38,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,-0.6946583704589976,0.7193398003386509,4492.125,60,120,0,1
-2.7,-12.5,47,0.0,15.6,10,101.41,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,-0.6427876096865396,0.7660444431189778,3796.4159999999997,60,120,0,1
-3.2,-12.2,50,0.0,13.5,10,101.45,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,-0.5591929034707466,0.8290375725550418,2460.375,60,120,1,0
-4.7,-11.6,59,0.0,8.8,10,101.49,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.20791169081775987,0.9781476007338056,681.4720000000002,60,120,1,0
-5.4,-11.4,62,0.0,7.2,10,101.53,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0.052335956242943835,0.9986295347545738,373.24800000000005,60,120,1,0
-6.4,-11.8,66,0.0,6.0,10,101.55,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,-0.544639035015027,0.838670567945424,216.0,60,120,1,0
-5.8,-12.0,62,0.0,7.6,10,101.6,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.9961946980917455,-0.08715574274765825,438.97599999999994,60,120,1,0
-4.8,-11.1,61,0.0,9.5,10,101.57000000000001,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,-0.8746197071393959,-0.48480962024633684,857.375,60,120,1,0
-3.7,-10.2,60,0.0,11.2,10,101.53999999999999,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,-0.8386705679454242,-0.544639035015027,1404.9279999999997,60,120,1,0
-3.5,-9.4,64,0.0,12.0,10,101.53999999999999,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,-0.9335804264972016,-0.3583679495453007,1728.0,60,120,1,0
-3.1,-8.7,65,0.0,11.4,10,101.5,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.913545457642601,-0.4067366430758001,1481.544,60,120,1,0
-3.3,-9.1,64,0.0,12.4,10,101.45,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.8090169943749473,-0.5877852522924732,1906.6240000000003,60,120,1,0
-2.8,-10.0,58,0.0,15.5,10,101.45,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.8571673007021121,-0.5150380749100544,3723.875,60,120,0,1
-2.7,-9.8,58,0.0,16.1,10,101.44,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,-0.8746197071393959,-0.48480962024633684,4173.281000000001,60,120,0,1
-2.8,-9.1,62,0.0,16.7,10,101.39,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.8386705679454242,-0.544639035015027,4657.463,60,120,0,1
-3.2,-9.0,64,0.0,17.9,10,101.4,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,-0.8660254037844385,-0.5000000000000004,5735.338999999999,60,120,0,1
-3.5,-9.1,65,0.0,19.1,10,101.44,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.848048096156426,-0.529919264233205,6967.871000000002,60,120,0,1
-3.5,-9.0,66,0.0,19.8,10,101.45,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.8386705679454242,-0.544639035015027,7762.392000000001,60,120,0,1
-2.7,-8.1,66,0.0,17.7,10,101.45,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,-0.8746197071393959,-0.48480962024633684,5545.232999999999,60,120,0,1
-2.2,-8.2,63,0.0,17.5,10,101.47,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,-0.9455185755993168,-0.32556815445715664,5359.375,60,120,0,1
-1.4,-8.1,60,0.0,18.3,10,101.47,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.9396926207859084,-0.34202014332566855,6128.487000000001,60,120,0,1
-0.9,-8.4,57,0.0,19.6,10,101.42,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,-0.9702957262759965,-0.24192189559966779,7529.536000000002,60,120,0,1
-0.4,-8.3,55,0.0,21.6,10,101.31,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,-0.9659258262890683,-0.25881904510252063,10077.696000000002,60,120,0,1
-0.1,-7.7,57,0.0,21.4,10,101.24,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.9563047559630353,-0.2923717047227371,9800.343999999997,60,120,0,1
0.0,-7.6,57,0.0,20.2,10,101.17999999999999,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,-0.961261695938319,-0.2756373558169989,8242.408,60,120,0,1
0.1,-7.6,56,0.0,18.3,10,101.13,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,-0.961261695938319,-0.2756373558169989,6128.487000000001,60,120,0,1
0.2,-7.4,57,0.0,17.3,10,101.1,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,-0.9563047559630353,-0.2923717047227371,5177.717000000001,60,120,0,1
-0.2,-7.2,59,0.0,13.9,10,101.11,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.9063077870366502,-0.42261826174069916,2685.619,60,120,1,0
-0.3,-7.2,60,0.0,15.3,10,101.17,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,-0.8910065241883678,-0.4539904997395469,3581.5770000000007,60,120,0,1
-0.2,-7.1,59,0.0,16.9,10,101.26,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,-0.913545457642601,-0.4067366430758001,4826.808999999998,60,120,0,1
-0.8,-6.7,65,0.0,13.4,10,101.21000000000001,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.9902680687415703,-0.13917310096006583,2406.1040000000003,60,120,1,0
-1.4,-6.5,68,0.0,9.7,10,101.14,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,-0.9271838545667873,-0.3746065934159123,912.6729999999998,60,120,1,0
-2.0,-6.2,72,0.0,9.6,10,101.12,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,-0.8290375725550418,-0.5591929034707466,884.7359999999999,60,120,1,0
-1.0,-6.0,69,0.0,7.8,10,101.06,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,-0.8290375725550418,-0.5591929034707466,474.55199999999996,60,120,1,0
